transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city,issue_found,severity,auto_fixable
TXN100001,PetCorner,pet,8450.87,USD,2026-06-02,completed,C1063,card,Kolkata,None,None,None
TXN100002,FuelPlus,fuel,5615.18,INR,2026-06-04,failed,C1175,NEFT,Bengaluru,None,None,None
TXN100003,ByteStore,tech,10825.34,INR,2026-06-04,failed,C1150,card,Kolkata,None,None,None
TXN100004,HealthHub,pharmacy,17368.36,INR,2026-06-04,completed,C1038,wallet,Pune,None,None,None
TXN100005,CafeBlend,food,18717.28,INR,2026-06-03,completed,C1183,NEFT,Pune,None,None,None
TXN100006,MobiRecharge,telecom,2041.11,INR,2026-06-03,pending,C1010,netbanking,Hyderabad,None,None,None
TXN100007,QuickMart,retail,9423.51,INR,2026-06-03,failed,C1020,wallet,Hyderabad,None,None,None
,HealthHub,pharmacy,4453.99,INR,2026-06-04,completed,C1091,card,Mumbai,Missing transaction_id,High,No
TXN100009,HealthHub,pharmacy,15767.36,INR,2026-06-04,failed,C1045,NEFT,Pune,None,None,None
TXN100010,CafeBlend,food,930.92,INR,2026-06-01,completed,C1121,wallet,Bengaluru,None,None,None
TXN100011,HealthHub,pharmacy,9428.19,INR,2026-06-01,completed,C1079,NEFT,Bengaluru,None,None,None
TXN100012,PetCorner,pet,7333.79,USD,2026-06-04,completed,C1014,card,Delhi,None,None,None
TXN100013,MediPharm,pharmacy,12054.9,INR,2026-06-02,completed,C1177,wallet,Bengaluru,None,None,None
TXN100014,CafeBlend,food,16279.56,INR,2026-06-02,failed,C1104,UPI,Bengaluru,None,None,None
TXN100015,FuelPlus,fuel,3263.33,INR,2026-06-02,completed,C1104,card,Mumbai,None,None,None
TXN100016,HealthHub,pharmacy,12393.93,INR,2026-06-04,completed,C1065,UPI,Kolkata,None,None,None
TXN100017,CloudStore,tech,-2847.5,INR,2026-06-01,failed,C1073,UPI,Hyderabad,Negative amount,Medium,Yes
TXN100018,CloudStore,tech,1163.19,INR,2026-06-02,pending,C1102,netbanking,Kolkata,None,None,None
TXN100019,MobiRecharge,telecom,8859.09,INR,2026-06-04,completed,C1136,UPI,Mumbai,None,None,None
TXN100020,HealthHub,pharmacy,942.52,INR,2026-06-03,pending,C1197,wallet,Mumbai,None,None,None
TXN100021,MediPharm,pharmacy,18796.37,INR,2026-06-02,completed,C1027,netbanking,Mumbai,None,None,None
TXN100022,MobiRecharge,telecom,17826.91,INR,2026-06-02,pending,C1075,wallet,Kolkata,None,None,None
TXN100023,FuelPlus,fuel,19429.59,INR,2026-06-04,completed,C1017,NEFT,Chennai,None,None,None
TXN100024,HealthHub,pharmacy,15103.59,INR,2026-06-03,pending,C1136,card,Chennai,None,None,None
TXN100025,PetCorner,pet,19408.95,USD,2026-06-04,failed,C1040,netbanking,Delhi,None,None,None
TXN100026,SpeedPay,payments,14962.3,INR,2026-06-04,completed,C1097,netbanking,Mumbai,None,None,None
TXN100027,GroceryHub,grocery,214.33,INR,2026-06-03,completed,C1049,card,Kolkata,None,None,None
TXN100028,SpeedPay,payments,5830.31,INR,2026-06-04,completed,C1104,netbanking,Pune,None,None,None
TXN100029,PetCorner,pet,199.17,USD,2026-06-02,completed,C1133,netbanking,Pune,None,None,None
TXN100030,FreshMart,retail,21791.14,INR,2026-06-04,completed,C1067,wallet,Delhi,None,None,None
TXN100031,TravelEasy,travel,11738.96,INR,2026-06-03,completed,C1189,UPI,Bengaluru,None,None,None
TXN100032,MobiRecharge,telecom,6848.12,INR,2026-06-01,completed,C1106,netbanking,Chennai,None,None,None
TXN100033,TravelEasy,travel,13825.62,INR,99-99-9999,completed,C1193,UPI,Kolkata,Invalid date format (99-99-9999),High,No
TXN100034,MobiRecharge,telecom,8755.18,INR,2026-06-02,completed,C1117,netbanking,Mumbai,None,None,None
TXN100035,HealthHub,pharmacy,2978.92,INR,2026-06-04,pending,C1107,NEFT,Pune,None,None,None
TXN100036,CafeBlend,food,7993.28,INR,2026-06-02,completed,C1118,NEFT,Kolkata,None,None,None
TXN100037,HealthHub,pharmacy,15430.56,INR,2026-06-02,pending,C1146,wallet,Pune,None,None,None
TXN100038,CafeBlend,food,21571.93,INR,2026-06-02,pending,C1133,UPI,Bengaluru,None,None,None
TXN100039,GroceryHub,grocery,17542.26,INR,2026-06-01,completed,C1167,UPI,Hyderabad,None,None,None
TXN100040,SpeedPay,payments,11782.3,INR,2026-06-01,failed,C1081,wallet,Chennai,None,None,None
TXN100041,CafeBlend,food,3099.01,IND,2026-06-01,pending,C1009,UPI,Chennai,Invalid currency (IND),High,Yes
TXN100042,TravelEasy,travel,5151.43,INR,2026-06-03,completed,C1112,UPI,Pune,None,None,None
TXN100043,MobiRecharge,telecom,9259.65,INR,2026-06-02,completed,C1124,card,Chennai,None,None,None
TXN100044,MediPharm,pharmacy,14491.62,INR,2026-06-01,failed,C1050,NEFT,Mumbai,None,None,None
TXN100045,FreshMart,retail,7858.57,INR,2026-06-01,completed,C1185,card,Kolkata,None,None,None
TXN100046,CafeBlend,food,3406.32,INR,2026-06-01,completed,C1194,NEFT,Pune,None,None,None
TXN100047,PetCorner,pet,3764.42,USD,2026-06-02,failed,C1155,NEFT,Mumbai,None,None,None
TXN100048,GroceryHub,grocery,17037.06,INR,2026/06/02,pending,C1048,netbanking,Mumbai,Invalid date separator (/ instead of -),High,Yes
TXN100049,FreshMart,retail,2551.65,INR,2026-06-04,failed,C1187,UPI,Mumbai,None,None,None
TXN100050,PetCorner,pet,20179.87,USD,2026-06-01,completed,C1145,wallet,Pune,None,None,None
TXN100051,MobiRecharge,telecom,13301.72,INR,2026-06-01,completed,C1042,wallet,Chennai,None,None,None
TXN100052,MediPharm,pharmacy,6977.11,INR,2026-06-01,failed,C1101,UPI,Chennai,None,None,None
TXN100053,CafeBlend,food,3024.49,INR,2026-06-01,completed,C1142,netbanking,Chennai,None,None,None
TXN100054,FuelPlus,fuel,0,INR,2026-06-01,completed,C1090,card,Hyderabad,Zero amount,Medium,Yes
TXN100055,SpeedPay,payments,7063.09,INR,2026-06-03,completed,C1008,wallet,Kolkata,None,None,None
TXN100056,MediPharm,pharmacy,13472.77,INR,2026-06-02,completed,C1195,netbanking,Pune,None,None,None
TXN100057,PetCorner,pet,9289.91,USD,2026-06-02,completed,C1134,wallet,Bengaluru,None,None,None
TXN100058,TechZone,electronics,5409.82,INR,2026-06-03,completed,C1145,UPI,Delhi,None,None,None
TXN100059,QuickMart,retail,12494.49,INR,2026-06-01,completed,C1033,card,Pune,None,None,None
TXN100060,MediPharm,pharmacy,1460.62,INR,2026-06-03,completed,C1148,wallet,Mumbai,None,None,None
TXN100061,QuickMart,retail,20526.77,INR,2026-06-01,failed,C1101,wallet,Bengaluru,None,None,None
TXN100062,,food,12990.43,INR,2026-06-03,pending,C1033,wallet,Hyderabad,Missing merchant_name,High,No
TXN100063,FuelPlus,fuel,8206.3,INR,2026-06-02,completed,C1187,NEFT,Delhi,None,None,None
TXN100064,TechZone,electronics,15774.46,INR,2026-06-01,pending,C1156,card,Kolkata,None,None,None
TXN100065,CafeBlend,food,3065.35,INR,2026-06-02,completed,C1175,netbanking,Mumbai,None,None,None
TXN100066,SpeedPay,payments,11406.27,INR,2026-06-01,completed,C1061,NEFT,Mumbai,None,None,None
TXN100025,SpeedPay,payments,15545.2,INR,2026-06-04,failed,C1143,UPI,Mumbai,Duplicate transaction_id (TXN100025),High,No
TXN100068,MediPharm,pharmacy,7209.9,INR,2026-06-03,pending,C1048,UPI,Kolkata,None,None,None
TXN100069,SpeedPay,payments,767.65,INR,2026-06-01,pending,C1015,netbanking,Mumbai,None,None,None
TXN100070,HealthHub,pharmacy,1213.4,INR,2026-06-03,completed,C1068,netbanking,Bengaluru,None,None,None
TXN100071,ByteStore,tech,11723.28,INR,2026-06-02,completed,C1029,card,Chennai,None,None,None
TXN100072,PetCorner,pet,3233.36,USD,2026-06-03,failed,C1066,card,Delhi,None,None,None
TXN100073,QuickMart,retail,-9120.0,INR,2026-06-01,completed,C1059,card,Hyderabad,Negative amount,Medium,Yes
TXN100074,FuelPlus,fuel,18385.94,INR,2026-06-04,completed,C1091,netbanking,Delhi,None,None,None
TXN100075,TechZone,electronics,11898.33,INR,2026-06-01,completed,C1007,card,Mumbai,None,None,None
TXN100076,TechZone,electronics,7637.1,INR,2026-06-03,completed,C1165,UPI,Delhi,None,None,None
TXN100077,FuelPlus,fuel,14505.83,INR,2026-06-01,completed,C1127,wallet,Hyderabad,None,None,None
TXN100078,HealthHub,pharmacy,8343.51,INR,2026-06-03,completed,C1182,netbanking,Kolkata,None,None,None
TXN100079,FuelPlus,fuel,"1,234.56",INR,2026-06-02,completed,C1008,card,Chennai,Invalid amount format (contains comma),Medium,Yes
TXN100080,GroceryHub,grocery,13705.71,INR,2026-06-03,completed,C1159,NEFT,Mumbai,None,None,None
TXN100081,TechZone,electronics,9796.76,INR,2026-06-04,failed,C1004,NEFT,Pune,None,None,None
TXN100082,MediPharm,pharmacy,1818.68,INR,2026-06-04,completed,C1188,UPI,Chennai,None,None,None
TXN100083,AutoFix,automotive,16848.73,EUR,2026-06-04,pending,C1193,netbanking,Hyderabad,None,None,None
TXN100084,TechZone,electronics,13356.8,INR,2026-06-01,completed,C1101,card,Bengaluru,None,None,None
TXN100085,ByteStore,tech,20365.17,INR,2026-06-04,Completed,C1086,NEFT,Bengaluru,Status case mismatch (Completed vs completed),Low,Yes
TXN100086,FreshMart,retail,554.04,INR,2026-06-01,completed,C1104,card,Delhi,None,None,None
TXN100087,HealthHub,pharmacy,14626.65,INR,2026-06-01,completed,C1031,netbanking,Mumbai,None,None,None
TXN100088,TechZone,electronics,14730.73,INR,2026-06-01,completed,C1110,netbanking,Mumbai,None,None,None
TXN100089,CloudStore,tech,3070.21,INR,2026-06-03,completed,C1180,wallet,Bengaluru,None,None,None
TXN100090,MediPharm,pharmacy,18540.84,INR,2026-06-04,pending,C1161,UPI,Bengaluru,None,None,None
TXN100091,MediPharm,pharmacy,9875000,INR,2026-06-03,completed,C1186,card,Kolkata,Outlier amount (significantly higher than others),Medium,No
TXN100092,MediPharm,pharmacy,16040.11,INR,2026-06-01,failed,C1017,netbanking,Delhi,None,None,None
TXN100093,PetCorner,pet,2930.07,USD,2026-06-03,failed,C1123,card,Kolkata,None,None,None
TXN100094,CloudStore,tech,16959.23,INR,2026-06-03,pending,C1064,NEFT,Chennai,None,None,None
TXN100095,SpeedPay,payments,4153.96,INR,2026-06-03,completed,C1048,netbanking,Hyderabad,None,None,None
TXN100096,CafeBlend,food,17667.2,INR,2026-06-02,failed,C1090,NEFT,Hyderabad,None,None,None
TXN100097,FuelPlus,fuel,5082.27,INR,2026-12-31,completed,C1146,UPI,Chennai,Invalid future date (too far ahead),Medium,No
TXN100098,FreshMart,retail,17304.67,INR,2026-06-04,failed,C1021,UPI,Delhi,None,None,None
TXN100099,FuelPlus,fuel,9435.59,INR,2026-06-01,completed,C1001,card,Kolkata,None,None,None
