transaction_id,merchant_name,amount,currency,transaction_date,_quarantine_reason,_quarantine_source,_quarantined_at
,Merchant_0,100.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_1,110.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_2,121.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_3,131.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_4,142.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_5,152.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_6,163.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_7,173.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_8,184.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_9,194.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_10,205.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_11,215.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_12,226.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_13,236.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_14,247.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_15,257.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_16,268.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_17,278.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_18,289.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_19,299.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_20,310.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_21,320.5,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
,Merchant_22,331.0,INR,2026-06-04,null_transaction_id,kinesis_replay_phase3,2026-06-02T11:04:48.698406+00:00
